EASY,DIFF_LONG_WORD,DIFF_PHONOLOGICAL
shaky,essence,
shall,essential,
sham,essentially,
shama,establish,
shame,established,
shan,establishment,
shape,estate,
share,esteem,
shark,estimate,
sharp,estuarine,
shave,estuary,
shawl,eternal,
she,eternity,
shed,ethane,
shee,ethanol,
sheep,ethene,
sheer,ethical,
sheet,ethics,
shelf,ethnic,
shell,ethoxide,
sher,ethyne,
sheth,etiquette,
shi,eureka,
shift,evacuate,
shine,evaluate,
shiny,evaluative,
ship,evaporate,
shirt,evening,
shiv,evenly,
shock,eventful,
shoe,eventuality,
shola,eventually,
shone,evergreen,
shook,everlasting,
shoot,everybody,
shop,everyday,
shore,everyone,
short,everything,
shot,evidence,
shout,evident,
show,evidently,
shown,evilly,
shree,evolve,
shrub,exactly,
shrug,exaggerate,
shut,exaggerated,
shy,exaggerating,
shyly,examine,
si,examining,
sial,example,
sick,excavate,
side,excavator,
sided,exceedingly,
sides,excellence,
sidi,excellent,
siege,except,
sieve,excerpt,
sift,excess,
sigh,excessive,
sigma,excessively,
sign,excitable,
sil,excite,
silk,excited,
silky,excitedly,
sill,excitement,
silly,exciting,
silt,exclaim,
silty,exclamatory,
sin,excluding,
since,exclusive,
sind,exclusively,
sine,excreta,
sing,excrete,
singh,excretory,
sink,excruciating,
sinus,excusable,
sip,excuse,
sir,execute,
sis,executed,
sit,executive,
sitar,exemplar,
site,exemplary,
siva,exemplify,
six,exercise,
sixth,exhale,
sixty,exhaust,
size,exhausted,
sized,exhaustibility,
sizes,exhaustive,
skate,exhibit,
skies,exhilarating,
skill,existence,
skim,existent,
skin,exothermic,
skip,exotic,
skirt,expand,
skit,expanded,
skull,expanding,
sky,expanse,
slab,expect,
slack,expectancy,
slain,expectant,
slam,expend,
slang,expenditure,
slant,expense,
slash,expensive,
slate,experience,
slave,experienced,
sleep,experiential,
sleet,experiment,
slept,experimental,
slice,experimentally,
slid,experimented,
slide,expert,
slim,expiry,
slime,explain,
slimy,explaining,
slip,explanatorily,
slit,explanatory,
sloka,explicit,
slope,explicitly,
slosh,explode,
slot,exploded,
sloth,exploit,
slow,exploitative,
slows,exploratory,
small,explore,
smart,explorer,
smash,exploring,
smell,explosive,
smelt,exponent,
smile,exponential,
smith,export,
smog,exporter,
smoke,expose,
snack,exposed,
snail,expository,
snake,exposure,
snap,express,
snaps,expressed,
snark,expressive,
sneak,expressway,
snell,exquisite,
sniff,exquisitely,
snip,extend,
snout,extended,
snow,extending,
snowy,extensive,
so,extensively,
soak,extent,
soap,exterior,
soapy,external,
soar,externally,
sock,extinct,
soda,extinguish,
sofa,extinguished,
soft,extinguisher,
soil,extracellular,
sol,extract,
solar,extracted,
sold,extractor,
sole,extraordinarily,
soles,extraordinary,
solid,extravagant,
solo,extreme,
solve,extremely,
soma,eyeball,
some,eyebrow,
son,eyepiece,
sonar,eyewear,
song,eyewitness,
sons,fabric,
soon,faceted,
soot,facial,
sooty,facilitate,
sore,facilitator,
sorry,facility,
sort,facing,
sot,factor,
sou,factory,
soul,factual,
sound,faculty,
soup,fading,
sour,failing,
south,failure,
sow,fainter,
sown,fainting,
soya,faintly,
space,fairer,
spade,fairly,
span,fairness,
spare,faithful,
spark,faithfulness,
spat,falcon,
spate,fallacy,
spawn,fallen,
speak,falling,
spear,fallow,
speck,falsehood,
specs,falsely,
speed,faltering,
spell,familiar,
spelt,familiarity,
spend,familiarly,
spent,family,
sperm,famine,
spice,famous,
spicy,famously,
spill,fanaticism,
spilt,fanciful,
spin,fantastic,
spine,fantastically,
spite,fantasy,
split,faraday,
spoil,faraway,
spoke,farewell,
spoon,farmer,
spore,farming,
sport,farther,
spot,farthest,
spray,fashion,
sprit,fashionable,
spun,fashioned,
spy,fasten,
squat,faster,
sri,fasting,
sruti,fatality,
st,fateful,
stack,father,
staff,fatherland,
stag,faulting,
stage,faulty,
stain,faunal,
stair,favorite,
stake,feared,
stale,fearful,
stalk,fearfulness,
stall,fearless,
stamp,fearlessly,
stand,feasibility,
star,feasible,
stare,feather,
stark,feathered,
start,feathering,
state,feature,
stay,featured,
stays,febrile,
stead,federal,
steal,federalism,
steam,feeble,
steel,feebly,
steep,feedback,
steer,feeder,
stem,feeding,
step,feeling,
stern,felling,
stew,fellow,
stick,female,
stiff,feminist,
still,fencing,
sting,fennel,
stink,fenugreek,
stir,ferric,
stoat,ferrous,
stock,ferrum,
stoke,fertile,
stole,fertility,
stoma,fertilizer,
stomp,fervent,
stone,festival,
stony,festive,
stood,feverish,
stool,fibroblast,
stop,fibrous,
store,fiddle,
stork,fielder,
storm,fierce,
story,fiercely,
stout,fifteen,
stove,figure,
stra,figured,
strap,figurine,
straw,filament,
stray,filamentous,
strip,filing,
strut,filings,
stuck,filled,
study,filler,
stuff,filling,
stump,fillip,
stung,filter,
stupa,filtering,
style,filtrate,
sub,finale,
suck,finally,
sugar,finance,
suid,financial,
suit,finding,
suite,finely,
sum,finger,
sump,fingering,
sun,fingerprint,
sung,fingerprinting,
sunk,finish,
sunny,finished,
super,finishing,
sur,finite,
sura,finned,
surat,fireplace,
sure,firewood,
surge,firmly,
swa,firmness,
swain,firsthand,
swam,firstly,
swami,fished,
swamp,fisherfolk,
swan,fisherman,
swang,fishery,
swap,fishing,
swarm,fishpond,
sway,fissure,
sweat,fistula,
sweep,fitful,
sweet,fitness,
swell,fitted,
swept,fitting,
swift,fittingly,
swim,fixing,
swing,flagon,
swipe,flagpole,
swirl,flagship,
swiss,flagstaff,
swoon,flamingo,
swoop,flanked,
sword,flashily,
swore,flashing,
sworn,flashy,
swung,flatten,
sync,flattening,
syrup,flattery,
t,flatworm,
ta,flavour,
taa,flawed,
taar,flawless,
tab,flawlessly,
tabla,fleeting,
table,fleshy,
tad,flexed,
tag,flexibility,
tahr,flexible,
tai,flexibly,
tail,flexion,
taj,flexor,
take,flicker,
taken,flickering,
tala,floating,
talc,flooded,
tale,floodgate,
tales,flooding,
tali,flooring,
talk,floppy,
tall,floral,
tally,florist,
talon,flourish,
tam,flourishing,
tambo,flower,
tame,flowering,
tan,flowerpot,
tana,flowing,
tane,fluctuate,
tang,fluency,
tangi,fluently,
tangy,fluffy,
tank,fluidity,
tanka,fluoride,
tap,fluorine,
tapas,fluorite,
tape,flushing,
taper,flutter,
taps,fluttering,
tar,fodder,
tara,foldable,
tare,folded,
tarn,folder,
taro,folding,
tars,foliage,
task,folklore,
taste,follow,
tasty,follower,
tat,following,
tau,fondly,
taut,fondness,
tawa,foolish,
tawny,foolishly,
tax,football,
taxi,footed,
taxis,footer,
te,footfall,
tea,footing,
teak,footmark,
team,footpath,
tear,footprint,
tease,footwear,
tee,footwork,
teen,forage,
teeth,forbade,
tell,forbid,
tempo,forbidden,
tempt,forced,
ten,forceful,
tend,forcefully,
tense,forceps,
tent,forcibly,
tenth,forcing,
term,forearm,
test,forecast,
tetra,forecasting,
text,forefinger,
th,foregone,
tha,foreground,
than,forehand,
thane,forehead,
thank,foreign,
thar,foreman,
that,foremost,
the,forensic,
thee,foresee,
theft,forest,
their,forested,
them,forestry,
theme,forever,
then,foreword,
there,forged,
these,forget,
theta,forgetting,
they,forging,
thick,forgive,
thief,forgiveness,
thigh,forgot,
thin,forgotten,
thine,forked,
thing,forlorn,
think,formal,
third,formally,
this,format,
thorn,formative,
those,formed,
thou,former,
three,formerly,
threw,formic,
throw,formidable,
thud,forming,
thus,formula,
thy,formulae,
ti,formulate,
tibet,forthcoming,
tic,forthwith,
tick,forties,
tidal,fortify,
tide,fortress,
tidy,fortunate,
tie,fortunately,
tied,fortune,
tier,forward,
tiff,forwards,
tiger,fossil,
til,foster,
tile,fostering,
tiled,founder,
till,founding,
tilt,fountain,
time,fourteen,
timed,fourteenth,
timer,fourth,
times,fowler,
timid,fracture,
tin,fragile,
ting,fragment,
tint,fragmented,
tiny,fragrance,
tip,fragrant,
tipe,framed,
tired,framework,
title,framing,
to,franklin,
toad,fraternity,
toast,fraudulent,
toby,freedom,
today,freehand,
toe,freely,
tofu,freeness,
toil,freeze,
token,freezer,
told,freezing,
tole,frequency,
toll,frequent,
tome,frequently,
tommy,fresco,
ton,freshly,
tonal,freshman,
tone,freshness,
tongs,friend,
tonic,friendly,
tony,friendship,
too,frigid,
took,fringing,
tool,fritillary,
toot,froglet,
tooth,frontage,
top,frontier,
tope,frosted,
topi,frowning,
topic,frozen,
tops,fruiterer,
toran,fruitful,
tore,fruiting,
torn,fruity,
torso,fulcrum,
toru,fulfill,
toss,fulfillment,
total,fuller,
tou,fumble,
tour,fumbling,
towel,fuming,
tower,fundamental,
town,funded,
toxic,funeral,
toxin,fungal,
toy,fungus,
tra,funnel,
trace,funnily,
track,furnace,
tract,furniture,
trade,further,
trag,furthermore,
trail,furthest,
train,futile,
trait,futility,
tramp,future,
trap,futuristic,
traps,gadget,
trash,gaining,
tray,galaxy,
tread,gallantry,
treat,gallery,
tree,gallium,
trek,gallon,
trend,gallop,
tri,galloping,
trial,galore,
tribe,galvanic,
trick,gambler,
tried,gamete,
trim,gaming,
trin,garage,
trio,garbage,
trip,garden,
troop,gardener,
trot,gardening,
trove,garland,
truck,garlic,
true,garment,
truer,garnish,
truly,gasket,
trunk,gasoline,
trust,gasping,
truth,gastric,
try,gateway,
tryst,gather,
tu,gathering,
tub,gayatri,
tube,gazette,
tuck,gazing,
tue,geared,
tug,gearing,
tulip,gender,
tulsi,genealogical,
tum,genera,
tummy,general,
tun,generality,
tuna,generally,
tune,generate,
tuned,generating,
tur,generator,
turk,generic,
turn,generosity,
turns,generous,
tutu,generously,
tweed,genetic,
twice,genetically,
twig,genetics,
twill,geneva,
twin,genital,
twirl,genius,
twist,gentle,
two,gentleman,
type,gently,
tyre,genuine,
u,genuinely,
udal,geodesic,
ugh,geological,
ugly,geologically,
ule,geologist,
ultra,geology,
un,geometric,
uncle,geometrical,
uncut,geometrically,
under,geometry,
undo,geopolitical,
unfit,geosyncline,
unify,geothermal,
union,geotropism,
unit,geranium,
unite,german,
unity,germanium,
unlit,germinability,
untie,germinate,
until,gerund,
unto,gesture,
up,getting,
upon,geyser,
upper,gharial,
ur,ghastly,
ural,ghostly,
urban,gibbous,
ure,gifted,
urea,gigantic,
urge,giggle,
uric,giggling,
urine,ginger,
us,ginning,
usage,giraffe,
use,giving,
used,gizzard,
user,glacial,
ust,glacier,
usual,gladly,
ut,gladness,
utter,glamorous,
v,glamour,
vain,glance,
vajra,glandular,
vale,glaring,
valid,glasses,
value,glassware,
van,gleaming,
vane,gliding,
vara,glimmer,
varna,glitter,
vary,glittering,
vas,global,
vase,globally,
vast,gloomy,
vat,glossary,
vau,glowing,
vee,glucose,
veer,gluten,
veil,glycerin,
vein,glycerine,
venue,glycerol,
verb,glycogen,
verge,goalkeeper,
veri,goalkeeping,
verse,goddess,
verst,goggle,
very,golden,
vest,goldfish,
vet,goldilocks,
veto,goldsmith,
vexed,gondola,
via,goodness,
vicar,goodwill,
vice,gooseberry,
video,gossamer,
vidya,govern,
view,governance,
vina,governing,
vine,government,
viral,governmental,
virus,governor,
vis,grabber,
visa,graceful,
visit,gracefully,
vital,graded,
viva,grader,
vivid,gradient,
vocal,grading,
voice,gradual,
volt,gradually,
vote,graduate,
voter,graduated,
vow,graduating,
vowed,grafting,
vowel,graham,
w,grained,
wa,grainy,
wafer,grammar,
waft,grammarian,
wag,grammatical,
wage,grammatically,
waged,granary,
wages,grandeur,
wagon,grandfather,
waist,grandly,
wait,grandma,
waive,grandmother,
wake,grandpa,
wakes,grandparent,
walk,grandson,
wall,grange,
wan,granite,
wand,granny,
want,granulated,
war,grapevine,
ward,grasping,
ware,grasshopper,
warm,grassland,
warn,grassy,
warp,grateful,
wary,gratefully,
was,gratefulness,
wash,grater,
waste,gratitude,
wat,gratuitous,
water,gravel,
watt,gravely,
wave,graveyard,
waved,gravity,
wavy,grayling,
wax,grazing,
waxy,grease,
way,greasy,
ways,greater,
we,greatly,
weak,greatness,
wear,greedy,
weary,greener,
weave,greenery,
web,greengrocer,
wed,greenhouse,
weed,greeting,
week,greyhound,
weep,grievance,
weeps,grieve,
weft,grieved,
weir,grieving,
well,griffin,
went,grimly,
wept,grinder,
were,grinding,
west,grinning,
wet,gripping,
wi,grocer,
wick,grocery,
wide,groove,
widen,ground,
widow,grounded,
width,grounding,
wife,groundnut,
wild,grounds,
will,groundwork,
win,grouped,
wind,grouping,
windy,growing,
wine,growth,
wing,grudge,
wipe,grumpy,
wiper,grunting,
wir,guarantee,
wire,guarded,
wiry,guardian,
wise,guerrilla,
wiser,guessing,
wish,guidance,
wit,guideline,
with,guilty,
witty,guitar,
wizen,gulping,
woke,gunfire,
wolf,gunman,
woman,gunpowder,
won,gunter,
wong,gurdwara,
wont,gushing,
wood,gustatory,
woody,guttural,
woof,gymnasium,
wool,gymnastic,
wootz,gymnastics,
word,gyrate,
wore,haberdashery,
work,habitable,
works,habitat,
world,habitual,
worm,hackberry,
worn,hacking,
worry,haematite,
worse,haemoglobin,
worst,hailstone,
wort,hailstorm,
worth,haircut,
would,hairdresser,
wound,haired,
woven,hairline,
wow,hairpin,
x,hairstreak,
xi,halfway,
xylem,halting,
y,halved,
ya,halves,
yad,hamburger,
yahoo,hamlet,
yak,hammer,
yan,hammering,
yap,hamper,
yard,hamstring,
yarn,handbag,
yas,handball,
yat,handbook,
yate,handed,
yati,handful,
yawn,handicap,
yday,handicapped,
ye,handicraft,
yeah,handiwork,
year,handle,
yearn,handled,
yeast,handling,
yell,handmade,
yelp,handshake,
yer,handsome,
yes,hanger,
yet,hanging,
yn,hangul,
yo,happen,
yoga,happening,
yogi,happier,
yolk,happily,
york,happiness,
you,harass,
young,harasser,
your,harassment,
yours,harbour,
youth,harden,
yummy,hardening,
z,harder,
za,hardly,
zag,hardness,
zeal,hardship,
zebra,hardware,
zero,hardwood,
zig,harish,
zinc,harmful,
zip,harmless,
zonal,harmonica,
zone,harmonium,
zoo,harmonize,
zoom,harmony,
,harness,
,harshly,
,harvest,
,hassar,
,hassle,
,hasten,
,hatred,
,haulage,
,hawker,
,hawking,
,hazardous,
,haziness,
,headband,
,headdress,
,headed,
,header,
,headgear,
,heading,
,headless,
,headline,
,headlong,
,headmaster,
,headmistress,
,headquarter,
,headquarters,
,healer,
,healing,
,health,
,healthiness,
,healthy,
,hearing,
,heartbeat,
,heartbreaking,
,hearted,
,heartfelt,
,hearth,
,heartily,
,heartland,
,heartless,
,hearts,
,hearty,
,heater,
,heating,
,heaven,
,heavenly,
,heavens,
,heavily,
,heaviness,
,hectare,
,hectic,
,helicopter,
,heliocentric,
,helium,
,helmet,
,helper,
,helpful,
,helping,
,helpless,
,helplessness,
,helpmate,
,hematite,
,hemihydrate,
,hemlock,
,hepatitis,
,heptagon,
,herbal,
,herbarium,
,herding,
,hereby,
,hereditary,
,heredity,
,heretofore,
,heritage,
,hernia,
,heroic,
,heroically,
,heroism,
,herring,
,herself,
,hesitant,
,hesitate,
,hesitating,
,hesitatingly,
,hetero,
,hexagon,
,hexagonal,
,hexane,
,hidden,
,higher,
,highest,
,highly,
,highness,
,highway,
,hillock,
,hillside,
,hilltop,
,himself,
,hinder,
,hinderance,
,hindrance,
,hinterland,
,hissing,
,histogram,
,historian,
,historic,
,historical,
,historically,
,history,
,hither,
,hoarse,
,hoarseness,
,hockey,
,holder,
,holding,
,holiday,
,holistic,
,holistically,
,hollow,
,holocaust,
,homage,
,homeland,
,homeless,
,homemade,
,homemaker,
,homeopath,
,homesick,
,homework,
,homogeneity,
,homogenous,
,homologous,
,honest,
,honestly,
,honesty,
,honeybee,
,honorary,
,hookah,
,hoopla,
,hopeful,
,hopefully,
,hopeless,
,hopped,
,hopper,
,horizon,
,horizontal,
,horizontally,
,hormonal,
,hormone,
,hornbill,
,horned,
,horrible,
,horror,
,horseback,
,horticultural,
,horticulture,
,hospital,
,hospitality,
,hostel,
,hostess,
,hostile,
,hostility,
,hotness,
,hotter,
,hourglass,
,housefly,
,houseful,
,household,
,housekeeper,
,housekeeping,
,housewarming,
,housewife,
,housework,
,housing,
,however,
,howling,
,hugely,
,hugeness,
,hugging,
,humane,
,humanism,
,humanity,
,humankind,
,humble,
,humidity,
,humiliate,
,humiliating,
,humility,
,humming,
,hummingbird,
,humorous,
,humorously,
,humour,
,humpback,
,humpty,
,hundred,
,hundredth,
,hunger,
,hungry,
,hunting,
,hurdle,
,hurrah,
,hurricane,
,hurried,
,hurriedly,
,hurtful,
,hurtfully,
,hurting,
,husband,
,husbandry,
,hyacinth,
,hyaline,
,hydrated,
,hydraulic,
,hydride,
,hydrocarbon,
,hydrocarbonate,
,hydroelectric,
,hydroelectricity,
,hydrogen,
,hydrological,
,hydronium,
,hydroponic,
,hydroponics,
,hydrotropism,
,hydroxide,
,hydroxyl,
,hygiene,
,hygienic,
,hygienically,
,hygrometer,
,hypermetropia,
,hypermetropic,
,hypertonic,
,hypocrisy,
,hypotenuse,
,hypothalamus,
,hypotheses,
,hypothesis,
,hypothetical,
,hypotonic,
,hysterics,
,iconic,
,iconoclasm,
,ideally,
,identical,
,identically,
,identifiable,
,identifier,
,identify,
,identity,
,ideology,
,idiomatic,
,idiotic,
,idolatrous,
,idolatry,
,illegal,
,illegally,
,illegible,
,illiterate,
,illness,
,illogical,
,illuminated,
,illuminating,
,illustrate,
,illustrative,
,illustrator,
,ilmenite,
,imagery,
,imaginary,
,imaginative,
,imaginatively,
,imagine,
,imagines,
,imbalance,
,imbibe,
,imitate,
,immature,
,immediate,
,immediately,
,immemorial,
,immense,
,immensely,
,immerse,
,immersive,
,immigrate,
,imminent,
,immoral,
,immortal,
,immortality,
,immune,
,immunity,
,immunology,
,impact,
,impacted,
,impairment,
,impala,
,impart,
,impartial,
,impartiality,
,impatience,
,impatient,
,impatiently,
,imperative,
,imperfect,
,imperial,
,imperialism,
,imperium,
,impersonal,
,impetus,
,impish,
,implement,
,implore,
,impolite,
,import,
,importance,
,important,
,importantly,
,importer,
,impose,
,imposing,
,impossible,
,impound,
,impoundment,
,impoverish,
,impracticable,
,impractical,
,impress,
,impressive,
,impressively,
,imprison,
,imprisonment,
,improper,
,improve,
,improvement,
,improving,
,improvise,
,impudence,
,impudent,
,impulse,
,impure,
,inability,
,inaccessible,
,inactive,
,inadequate,
,inanimate,
,inappropriate,
,inborn,
,inbuilt,
,incapable,
,incense,
,incentive,
,incessant,
,incessantly,
,incidence,
,incident,
,incidental,
,incidentally,
,incisive,
,incisor,
,incite,
,include,
,included,
,inclusive,
,income,
,incoming,
,incompetent,
,incomplete,
,incompletely,
,incompressible,
,inconsistent,
,inconvenience,
,incorporate,
,incorporated,
,incorrect,
,incorrectly,
,incorrigible,
,increase,
,increasing,
,increasingly,
,incredible,
,incredibly,
,increment,
,inculcate,
,incumbent,
,incurable,
,indebted,
,indeed,
,indefinite,
,indefinitely,
,indelible,
,independence,
,independent,
,independently,
,indescribable,
,indestructible,
,indicate,
,indicative,
,indicator,
,indifference,
,indifferent,
,indigenous,
,indigo,
,indirect,
,indirectly,
,indiscriminate,
,indiscriminately,
,indispensable,
,indistinguishable,
,individual,
,individually,
,indivisible,
,indomitable,
,indoor,
,indoors,
,induced,
,inducement,
,indulge,
,indulgence,
,indulgent,
,indulging,
,industrial,
,industrialist,
,industry,
,ineffable,
,ineffective,
,ineffectiveness,
,inefficient,
,ineligible,
,inequality,
,inertia,
,inertial,
,inessential,
,inevitable,
,inevitably,
,inexpensive,
,inexplicable,
,infamous,
,infancy,
,infant,
,infantry,
,infect,
,infected,
,inference,
,inferior,
,infidel,
,infidelity,
,infinite,
,infinitely,
,infinity,
,inflammability,
,inflate,
,inflated,
,inflict,
,inflow,
,influence,
,influential,
,influenza,
,inform,
,informal,
,informally,
,informative,
,informed,
,infrared,
,infrastructure,
,infringe,
,infringement,
,ingenuity,
,ingest,
,ingredient,
,inhabit,
,inhabitant,
,inhabited,
,inhale,
,inherent,
,inherently,
,inherit,
,inheritance,
,inhuman,
,inhumane,
,inimitable,
,initial,
,initially,
,initiate,
,initiative,
,inject,
,injure,
,injured,
,injury,
,injustice,
,inkpot,
,inland,
,innate,
,innermost,
,innocence,
,innocent,
,innocently,
,innovate,
,innovative,
,inorganic,
,inquire,
,inquiry,
,inscribe,
,inscrutable,
,insect,
,insectivorous,
,insecure,
,insecurity,
,insensitivity,
,inseparable,
,insert,
,inserted,
,inside,
,insider,
,insincere,
,insist,
,insolent,
,insoluble,
,inspect,
,inspector,
,inspire,
,inspired,
,inspiring,
,instability,
,install,
,instance,
,instant,
,instantly,
,instead,
,instep,
,instigate,
,instill,
,instinct,
,instinctively,
,institute,
,institutor,
,instruct,
,instructed,
,instructor,
,instrument,
,instrumental,
,instrumentalist,
,insufficient,
,insulated,
,insulating,
,insulator,
,insulin,
,insult,
,insurance,
,insure,
,insurmountable,
,intact,
,intake,
,intangible,
,integer,
,integral,
,integrate,
,integrity,
,intellect,
,intellectual,
,intellectually,
,intelligence,
,intelligent,
,intelligently,
,intend,
,intended,
,intense,
,intensely,
,intensity,
,intensive,
,intensively,
,intent,
,intently,
,interact,
,interactive,
,intercalary,
,intercellular,
,intercept,
,intercepting,
,intercom,
,interconvertible,
,intercourse,
,interdependence,
,interdependent,
,interest,
,interested,
,interesting,
,interestingly,
,interface,
,interfere,
,interference,
,interfering,
,interim,
,interior,
,interlock,
,interlude,
,intermediary,
,intermediate,
,intermittently,
,intermix,
,internal,
,internally,
,interplanetary,
,interplay,
,interpret,
,interrelated,
,interrogative,
,interrupt,
,interrupted,
,interrupting,
,intersect,
,interspecific,
,intersperse,
,interstate,
,intertwine,
,interval,
,intervarietal,
,intervene,
,interview,
,interweave,
,interwoven,
,intestinal,
,intestine,
,intext,
,intimate,
,intimately,
,intolerance,
,intoxicated,
,intoxicating,
,intracellular,
,intricacy,
,intricate,
,intricately,
,intriguer,
,intriguing,
,introduce,
,introductory,
,introspect,
,intrude,
,intruder,
,intuitive,
,intuitively,
,invade,
,invalid,
,invaluable,
,invariably,
,invasive,
,invent,
,inventive,
,inventiveness,
,inventor,
,inventory,
,inverse,
,inversely,
,invert,
,inverted,
,inverter,
,invest,
,investigate,
,investigating,
,investigative,
,investigatory,
,investment,
,invigorating,
,invincible,
,invisible,
,invisibly,
,invite,
,inviting,
,invoke,
,involuntary,
,involve,
,involved,
,involvement,
,inward,
,inwards,
,iodide,
,iodine,
,ironically,
,ironsmith,
,irregular,
,irregularly,
,irrelevant,
,irrespective,
,irresponsible,
,irreverent,
,irrigate,
,irritable,
,irritably,
,irritant,
,irritate,
,island,
,isolate,
,isolated,
,isometric,
,isotonic,
,isotope,
,isotopic,
,issuance,
,issuing,
,italics,
,iteratively,
,itself,
,jacket,
,jaggery,
,jajman,
,jasmine,
,jaundice,
,javelin,
,jealous,
,jealousy,
,jellyfish,
,jersey,
,jester,
,jingle,
,jingling,
,joining,
,jointly,
,jokingly,
,jordan,
,jostle,
,jotting,
,journal,
,journalism,
,journalist,
,journey,
,joyful,
,joyfully,
,joyous,
,joyously,
,jubilant,
,jubilee,
,judgment,
,judicial,
,judiciary,
,juggle,
,jujube,
,jumper,
,juncture,
,jungle,
,junior,
,juridical,
,justice,
,justifiable,
,justify,
,kaleidoscope,
,kalium,
,kamala,
,kangaroo,
,karaoke,
,karate,
,karela,
,karyon,
,keeled,
,keener,
,keenly,
,keeper,
,keeping,
,kelvin,
,kerosene,
,ketone,
,kettle,
,keyboard,
,keyhole,
,khalsa,
,khanda,
,kicking,
,kidney,
,killer,
,killing,
,kilogram,
,kilometer,
,kilowatt,
,kindergarten,
,kindle,
,kindly,
,kindness,
,kinetic,
,kingdom,
,kingfisher,
,kingmaker,
,kingship,
,kitten,
,kotwal,
,kulkarni,
,labial,
,laboratory,
,labour,
,lactic,
,lactobacillus,
,lactose,
,ladder,
,laddie,
,ladies,
,ladybug,
,lagoon,
,lambda,
,lambert,
,lament,
,lamented,
,lamenting,
,lances,
,landed,
,lander,
,landing,
,landless,
,landlocked,
,landlord,
,landmark,
,landowner,
,landscape,
,landslide,
,language,
,languid,
,langur,
,lantern,
,lapping,
,largely,
,larvae,
,larval,
,larynx,
,lasting,
,lastly,
,lately,
,latent,
,lateral,
,laterally,
,laterite,
,lateritic,
,latest,
,latitude,
,latitudinal,
,latter,
,latterly,
,laughing,
,laughingly,
,laundry,
,laureate,
,lavish,
,lawful,
,lawless,
,lawmaking,
,lawyer,
,layered,
,layout,
,laziness,
,lazuli,
,leaden,
,leader,
,leadership,
,leading,
,leafed,
,leakage,
,leaning,
,leaping,
,learned,
,learner,
,learning,
,learnt,
,leather,
,leaves,
,leaving,
,lecture,
,lecturer,
,leeward,
,leftmost,
,leftover,
,legacy,
,legally,
,legend,
,legendary,
,legged,
,leghorn,
,legible,
,legislate,
,legislative,
,legislature,
,legitimacy,
,legitimate,
,leguminous,
,leisure,
,leisurely,
,lemonade,
,lender,
,length,
,lengthwise,
,lentil,
,leopard,
,lepidopterist,
,leprous,
,lesser,
,lesson,
,lethal,
,letter,
,lettering,
,lettuce,
,leucocyte,
,leverage,
,levers,
,levity,
,liable,
,liberal,
,liberally,
,liberate,
,liberty,
,librarian,
,library,
,license,
,licensed,
,licking,
,lifeless,
,lifeline,
,lifelong,
,lifesaving,
,lifetime,
,lifter,
,lifting,
,ligament,
,likely,
,likewise,
,liking,
,limestone,
,limited,
,limiting,
,lineage,
,linear,
,linearly,
,linguist,
,linguistic,
,linguistics,
,lining,
,linkage,
,linked,
,linking,
,linnet,
,linseed,
,lioness,
,lipase,
,liquefy,
,liquid,
,listed,
,listen,
,listener,
,listening,
,lister,
,listing,
,listless,
,literacy,
,literal,
,literally,
,literary,
,literate,
,literature,
,lithium,
,litmus,
,litter,
,little,
,livelihood,
,liveliness,
,lively,
,livestock,
,living,
,lizard,
,loaded,
,loading,
,locality,
,locally,
,locate,
,locked,
,locomotive,
,locomotor,
,lodgings,
,loftily,
,logging,
,logical,
,logically,
,logistic,
,logistics,
,loneliness,
,lonely,
,longer,
,longevity,
,longing,
,longingly,
,longitude,
,longitudinal,
,looking,
,loosely,
,loosen,
,losing,
,loudly,
,loudness,
,lounge,
,lovable,
,lovely,
,lovesick,
,loving,
,lovingly,
,lowering,
,loyalty,
,lubricant,
,luckily,
,lucrative,
,luggage,
,lukewarm,
,lullaby,
,lumbago,
,lumbar,
,luminary,
,luminous,
,lunacy,
,lunatic,
,lungfish,
,lustrous,
,luxuriant,
,luxury,
,lyrical,
,lyricist,
,mackerel,
,macron,
,madame,
,maestro,
,magazine,
,magenta,
,magical,
,magically,
,magician,
,magistrate,
,magpie,
,maharaja,
,maharana,
,maharani,
,mahatma,
,mahogany,
,mahout,
,maidan,
,mailbox,
,mailed,
,mainly,
,mainstay,
,maintain,
,maintenance,
,majestic,
,majesty,
,majority,
,making,
,malaria,
,malarial,
,malleability,
,malleable,
,malpractice,
,mammal,
,mammoth,
,manage,
,manageable,
,management,
,manager,
,mandate,
,mandatory,
,mandra,
,manent,
,mangal,
,manganese,
,mangrove,
,manifest,
,manifested,
,manifesto,
,manifold,
,manipulate,
,mankind,
,manner,
,mannered,
,mantis,
,mantle,
,mantra,
,manual,
,manually,
,manufacture,
,manufacturer,
,manure,
,manuscript,
,marathon,
,marble,
,marbles,
,marcel,
,marconi,
,margin,
,marginally,
,marigold,
,marine,
,maritime,
,marked,
,marker,
,market,
,marketability,
,marketing,
,marking,
,marriage,
,married,
,marrow,
,marshland,
,marshy,
,martial,
,martin,
,martyrdom,
,marvel,
,marzipan,
,mascara,
,mascot,
,masked,
,masonry,
,massacre,
,massage,
,massif,
,massive,
,master,
,masterpiece,
,mastery,
,material,
,materialistic,
,materially,
,maternal,
,mathematical,
,mathematically,
,mathematician,
,mathematics,
,mating,
,matrimonial,
,matrix,
,matted,
,matter,
,mattress,
